Date,Timestamp,Predict,Score,Truth,x0,x1,x2,x3,x4,x5,x6
20231103,00-00-11,0,0.895,0,0.8954371809959412,0.015454969368875027,0.013670561835169792,0.01071112509816885,0.021265806630253792,0.02037477307021618,0.02308548614382744
20231103,00-01-11,4,0.91,4,0.013354867696762085,0.009063554927706718,0.01334083266556263,0.010673983953893185,0.9103447198867798,0.013680300675332546,0.0295417457818985
20231103,00-02-11,4,0.916,4,0.013563423417508602,0.010223213583230972,0.015730148181319237,0.013548885472118855,0.9156110882759094,0.018217505887150764,0.0131056634709239
20231103,00-03-11,4,0.921,4,0.01278967596590519,0.010173346847295761,0.012563287280499935,0.011307007633149624,0.9212796688079834,0.01598227769136429,0.01590467244386673
20231103,00-04-11,4,0.918,4,0.012549858540296555,0.010231878608465195,0.014833192341029644,0.01263823825865984,0.917847752571106,0.018521178513765335,0.013377823866903782
20231103,00-05-11,4,0.918,4,0.01139223575592041,0.011331173591315746,0.015386599116027355,0.013513780198991299,0.9179306030273438,0.014064770191907883,0.01638084463775158
20231103,00-06-11,4,0.918,4,0.011424735188484192,0.010201612487435341,0.01657690294086933,0.01357538253068924,0.9175967574119568,0.014985933899879456,0.01563871279358864
20231103,00-07-11,4,0.519,4,0.3266214430332184,0.024069769307971,0.02528444491326809,0.027847187593579292,0.5186650156974792,0.01881057769060135,0.05870158225297928
20231103,00-08-11,4,0.918,4,0.011463730596005917,0.010702719911932945,0.014707899652421474,0.012979638762772083,0.9184616804122925,0.01504550501704216,0.01663883961737156
20231103,00-09-11,4,0.91,4,0.012460174039006233,0.012470408342778683,0.016588693484663963,0.014463521540164948,0.9097390174865723,0.017063897103071213,0.01721435971558094
20231103,00-10-11,4,0.92,4,0.01189419999718666,0.010454864241182804,0.015172525309026241,0.012546172365546227,0.9201087951660156,0.015302253887057304,0.014521232806146145
20231103,00-11-11,4,0.921,4,0.011772586032748222,0.010453873313963413,0.015121303498744965,0.013264100067317486,0.9208647012710571,0.015169892460107803,0.013353504240512848
20231103,00-12-11,4,0.917,4,0.011879019439220428,0.010365843772888184,0.01614517718553543,0.013908378779888153,0.9169071316719055,0.017272066324949265,0.013522349298000336
20231103,00-13-11,4,0.498,4,0.19685526192188263,0.0522230826318264,0.042505983263254166,0.04358190670609474,0.49782663583755493,0.02491198107600212,0.142095148563385
20231103,00-14-11,4,0.888,4,0.02701834961771965,0.016120539978146553,0.016984067857265472,0.017572762444615364,0.8883106708526611,0.011433672159910202,0.02255995012819767
20231103,00-15-11,4,0.918,4,0.011876687407493591,0.01133886817842722,0.015421013347804546,0.014079933054745197,0.9179352521896362,0.014863084070384502,0.014485147781670094
20231103,00-16-11,4,0.916,4,0.011258441023528576,0.012485654093325138,0.015072083100676537,0.013483117334544659,0.9155492186546326,0.01273531187325716,0.019416209310293198
20231103,00-17-11,4,0.924,4,0.010742748156189919,0.010519810020923615,0.013710862025618553,0.011577271856367588,0.924139142036438,0.012951006181538105,0.01635911874473095
20231103,00-18-11,4,0.896,4,0.025603242218494415,0.01408018171787262,0.015374742448329926,0.01587829552590847,0.8957490921020508,0.016052745282649994,0.017261667177081108
20231103,00-19-11,4,0.913,4,0.011858340352773666,0.011315216310322285,0.015073268674314022,0.013013106770813465,0.9130772948265076,0.017098236829042435,0.01856451854109764
20231103,00-20-11,4,0.914,4,0.010636859573423862,0.011769939213991165,0.016043297946453094,0.01387221273034811,0.9135252237319946,0.01220216415822506,0.021950334310531616
20231103,00-21-11,4,0.921,4,0.01158220786601305,0.010270588099956512,0.014487752690911293,0.012392356991767883,0.9210680723190308,0.01440450083464384,0.015794454142451286
20231103,00-22-11,4,0.915,4,0.016513826325535774,0.011244848370552063,0.01461363397538662,0.012997109442949295,0.9148691296577454,0.011479539796710014,0.018281958997249603
20231103,00-23-11,0,0.872,4,0.8724299669265747,0.017229391261935234,0.018148301169276237,0.016617419198155403,0.02205539308488369,0.02465425245463848,0.028865214437246323
20231103,00-24-11,4,0.912,4,0.010932214558124542,0.012544499710202217,0.01601499505341053,0.01408439502120018,0.9121541380882263,0.014354352839291096,0.0199153833091259
20231103,00-25-11,4,0.908,4,0.011451472528278828,0.012947391718626022,0.016720259562134743,0.015661422163248062,0.9076756834983826,0.014927289448678493,0.020616542547941208
20231103,00-26-11,4,0.908,4,0.012269306927919388,0.011735389940440655,0.014962251298129559,0.013301857747137547,0.9084311723709106,0.013881166465580463,0.025418832898139954
20231103,00-27-11,4,0.918,4,0.011565079912543297,0.011430189944803715,0.016027875244617462,0.01366072054952383,0.9184162020683289,0.014049027115106583,0.014850882813334465
20231103,00-28-11,4,0.818,4,0.09258382767438889,0.015353281050920486,0.01602519303560257,0.018678873777389526,0.8179545998573303,0.018992362543940544,0.020411821082234383
20231103,00-29-11,0,0.892,4,0.8920447826385498,0.014105821028351784,0.017267443239688873,0.017857789993286133,0.013820238411426544,0.02474798448383808,0.02015596255660057
20231103,00-30-11,4,0.919,4,0.012026563286781311,0.011315918527543545,0.014815880917012691,0.013153362087905407,0.9186704754829407,0.015953443944454193,0.014064319431781769
20231103,00-31-11,4,0.919,4,0.011052661575376987,0.011205076240003109,0.014790495857596397,0.012768056243658066,0.919373631477356,0.014907166361808777,0.015902910381555557
20231103,00-32-11,6,0.907,6,0.0250080619007349,0.009524883702397346,0.014056233689188957,0.011900116689503193,0.013384217396378517,0.01903519779443741,0.9070913195610046
20231103,00-33-11,4,0.913,4,0.01270232256501913,0.010969840921461582,0.016347462311387062,0.013514641672372818,0.9130256175994873,0.01981363072991371,0.013626503758132458
